time,Serra Norte,Serra Sul,Serra Leste,PDM port,Vargem Grande,SParaopeba,Guaiba Island port,Itaguai port,Itabira,Minas Centrais,Mariana,Tubarao port
2022-12-29,,,,28.789616,19.275404,11.543814,0.0,0.0,24.71862,24.71862,25.176605,0.954466
2022-12-30,,,,48.31482,25.299047,22.462254,0.0,0.0,32.3791,32.3791,32.51034,1.3356062
2022-12-31,,,,21.22418,5.8574038,6.737106,0.0,0.0,5.4831996,5.4831996,5.416452,3.6163177
